timestamp,region,source,peak_mw_forecast,mw_lo,mw_hi,date
2025-11-01 05:00:00+00:00,North,Solar,30.033842214422783,25.650150636707238,32.005761008704965,2025-11-01
2025-11-02 07:00:00+00:00,North,Solar,26.5366716682788,23.680223981464106,29.77012855475659,2025-11-02
2025-11-03 06:00:00+00:00,North,Solar,27.14291248136969,22.75621810398003,29.238886106282806,2025-11-03
2025-11-04 06:00:00+00:00,North,Solar,36.358154130474674,29.325040929591577,37.627361036760654,2025-11-04
2025-11-05 06:00:00+00:00,North,Solar,35.71020412379981,29.534395260186987,37.50731197679864,2025-11-05
2025-11-06 07:00:00+00:00,North,Solar,37.557274727126455,29.61901545287203,39.000740695638804,2025-11-06
2025-11-07 05:00:00+00:00,North,Solar,32.09026478178807,28.717192742401483,34.34221401926012,2025-11-07
2025-11-01 00:00:00+00:00,North,Wind,23.440718228282954,19.644263630735985,26.370017331721314,2025-11-01
2025-11-02 00:00:00+00:00,North,Wind,23.483763081969236,19.653163744608364,25.759983610098043,2025-11-02
2025-11-03 23:00:00+00:00,North,Wind,23.69311360833264,19.569499575408766,25.26029304139624,2025-11-03
2025-11-04 23:00:00+00:00,North,Wind,23.777656924485395,19.438608403066908,25.480381194319477,2025-11-04
2025-11-05 22:00:00+00:00,North,Wind,23.935570843607692,19.514525121086937,25.0793427784568,2025-11-05
2025-11-06 22:00:00+00:00,North,Wind,23.48088182547523,19.54254460898184,25.208000599255612,2025-11-06
2025-11-07 03:00:00+00:00,North,Wind,23.245910145209496,19.252942194995043,25.376360977550874,2025-11-07
2025-11-01 06:00:00+00:00,West,Solar,29.129797373289417,24.661760059077455,31.914120594228734,2025-11-01
2025-11-02 07:00:00+00:00,West,Solar,26.65060661135041,24.357153966629586,29.18029908564938,2025-11-02
2025-11-03 06:00:00+00:00,West,Solar,32.152507433873694,27.336961588627595,33.78189959373807,2025-11-03
2025-11-04 07:00:00+00:00,West,Solar,36.09699571854456,30.09946043533074,36.9402330363404,2025-11-04
2025-11-05 07:00:00+00:00,West,Solar,37.42564665184813,30.096870089829025,39.05708556281207,2025-11-05
2025-11-06 07:00:00+00:00,West,Solar,38.03976542162519,30.10241888907244,39.686752571672976,2025-11-06
2025-11-07 07:00:00+00:00,West,Solar,36.23323263626595,30.262437690853762,37.65653201708949,2025-11-07
2025-11-01 01:00:00+00:00,West,Wind,21.945075508440198,19.142484077344818,24.74140095493864,2025-11-01
2025-11-02 01:00:00+00:00,West,Wind,21.592864313050214,19.021463482000556,23.564973442174487,2025-11-02
2025-11-03 22:00:00+00:00,West,Wind,21.2712362408681,18.396613405282242,23.79756976350552,2025-11-03
2025-11-04 00:00:00+00:00,West,Wind,21.757754568478905,18.69032198511192,23.927166040660772,2025-11-04
2025-11-05 21:00:00+00:00,West,Wind,21.925360491944765,18.61089226465719,23.411656852158778,2025-11-05
2025-11-06 01:00:00+00:00,West,Wind,21.94441524921837,18.646048830056085,23.734631595124878,2025-11-06
2025-11-07 23:00:00+00:00,West,Wind,22.14680289689867,18.867591912329146,23.700627887807226,2025-11-07
